tag_name,recipe_id
time-to-make,2886
course,2886
main-ingredient,2886
cuisine,2886
preparation,2886
north-american,2886
breads,2886
fruit,2886
american,2886
oven,2886
dietary,2886
quick-breads,2886
equipment,2886
4-hours-or-less,2886
weeknight,27208
time-to-make,27208
course,27208
main-ingredient,27208
cuisine,27208
preparation,27208
occasion,27208
north-american,27208
5-ingredients-or-less,27208
main-dish,27208
beef,27208
american,27208
easy,27208
potluck,27208
dinner-party,27208
fall,27208
kid-friendly,27208
winter,27208
crock-pot-slow-cooker,27208
dietary,27208
one-dish-meal,27208
seasonal,27208
comfort-food,27208
inexpensive,27208
meat,27208
roast-beef,27208
taste-mood,27208
to-go,27208
equipment,27208
time-to-make,89204
course,89204
main-ingredient,89204
preparation,89204
5-ingredients-or-less,89204
main-dish,89204
poultry,89204
vegetables,89204
easy,89204
beginner-cook,89204
chicken,89204
crock-pot-slow-cooker,89204
one-dish-meal,89204
meat,89204
chicken-breasts,89204
corn,89204
equipment,89204
30-minutes-or-less,39087
time-to-make,39087
course,39087
main-ingredient,39087
cuisine,39087
preparation,39087
occasion,39087
north-american,39087
for-1-or-2,39087
main-dish,39087
eggs-dairy,39087
pasta,39087
poultry,39087
american,39087
cajun,39087
southern-united-states,39087
easy,39087
dinner-party,39087
kid-friendly,39087
romantic,39087
chicken,39087
stove-top,39087
dietary,39087
spicy,39087
comfort-food,39087
meat,39087
chicken-breasts,39087
pasta-rice-and-grains,39087
taste-mood,39087
equipment,39087
number-of-servings,39087
weeknight,67256
time-to-make,67256
course,67256
main-ingredient,67256
preparation,67256
occasion,67256
for-large-groups,67256
desserts,67256
fruit,67256
cakes,67256
dietary,67256
tropical-fruit,67256
bananas,67256
number-of-servings,67256
4-hours-or-less,67256
time-to-make,54257
course,54257
main-ingredient,54257
cuisine,54257
preparation,54257
occasion,54257
north-american,54257
main-dish,54257
beef,54257
american,54257
southern-united-states,54257
oven,54257
roast,54257
holiday-event,54257
dietary,54257
comfort-food,54257
low-carb,54257
ground-beef,54257
low-in-something,54257
meat,54257
kwanzaa,54257
taste-mood,54257
equipment,54257
4-hours-or-less,54257
meatloaf,54257
weeknight,22782
time-to-make,22782
course,22782
main-ingredient,22782
cuisine,22782
preparation,22782
occasion,22782
main-dish,22782
pasta,22782
pork,22782
easy,22782
european,22782
kid-friendly,22782
italian,22782
stove-top,22782
dietary,22782
comfort-food,22782
oamc-freezer-make-ahead,22782
meat,22782
pork-sausage,22782
pasta-rice-and-grains,22782
spaghetti,22782
taste-mood,22782
equipment,22782
number-of-servings,22782
4-hours-or-less,22782
60-minutes-or-less,32204
time-to-make,32204
course,32204
main-ingredient,32204
preparation,32204
occasion,32204
for-large-groups,32204
desserts,32204
lunch,32204
oven,32204
easy,32204
beginner-cook,32204
potluck,32204
finger-food,32204
kid-friendly,32204
picnic,32204
vegetarian,32204
cookies-and-brownies,32204
chocolate,32204
bar-cookies,32204
brownies,32204
dietary,32204
comfort-food,32204
inexpensive,32204
taste-mood,32204
to-go,32204
equipment,32204
number-of-servings,32204
presentation,32204
60-minutes-or-less,69173
time-to-make,69173
course,69173
main-ingredient,69173
preparation,69173
appetizers,69173
main-dish,69173
beef,69173
easy,69173
dietary,69173
high-protein,69173
low-carb,69173
ground-beef,69173
high-in-something,69173
low-in-something,69173
meat,69173
number-of-servings,69173
60-minutes-or-less,68955
time-to-make,68955
course,68955
main-ingredient,68955
cuisine,68955
preparation,68955
occasion,68955
main-dish,68955
poultry,68955
asian,68955
japanese,68955
easy,68955
beginner-cook,68955
potluck,68955
dinner-party,68955
chicken,68955
stove-top,68955
dietary,68955
spicy,68955
low-calorie,68955
low-carb,68955
inexpensive,68955
low-in-something,68955
meat,68955
chicken-thighs-legs,68955
taste-mood,68955
savory,68955
to-go,68955
equipment,68955
presentation,68955
served-hot,68955
60-minutes-or-less,33919
time-to-make,33919
course,33919
main-ingredient,33919
cuisine,33919
preparation,33919
north-american,33919
casseroles,33919
main-dish,33919
beef,33919
mexican,33919
oven,33919
dietary,33919
ground-beef,33919
meat,33919
equipment,33919
60-minutes-or-less,82102
time-to-make,82102
course,82102
main-ingredient,82102
preparation,82102
main-dish,82102
eggs-dairy,82102
poultry,82102
oven,82102
cheese,82102
chicken,82102
dietary,82102
meat,82102
chicken-breasts,82102
equipment,82102
weeknight,25885
time-to-make,25885
course,25885
main-ingredient,25885
preparation,25885
occasion,25885
breads,25885
fruit,25885
easy,25885
dietary,25885
